mana,cardtype,artist,name,rarity
3GG,Sorcery,Ittoku,Rebuking Ceremony,Rare
5GG,Creature — Wurm 6/4,David Martin,Roaring Slagwurm,Rare
3GG,Instant,Luca Zontini,Stand Together,Uncommon
4GG,Creature — Spider 3/4,Terese Nielsen,Tangle Spider,Common
2G,Creature — Dryad 2/2,Pete Venters,Tanglewalker,Uncommon
3G,Creature — Elf Warrior 3/1,Paolo Parente,Tel-Jilad Outrider,Common
2G,Creature — Wolf 2/2,Paolo Parente,Tel-Jilad Wolf,Common
G,Creature — Elf Shaman 1/1,D. Alexander Gregory,Viridian Acolyte,Common
GG,Creature — Elf Warrior 2/1,Kev Walker,Viridian Zealot,Rare
B,Enchant Creature,Erica Gassalasca-Jape,Fatal Mutation,Uncommon
3BB,Sorcery,Matt Thompson,Final Punishment,Rare
2BB,Enchantment,John Avon,Lethal Vapors,Rare
1B,Enchant Creature,Matt Thompson,Lingering Death,Common
4BB,Creature — Zombie Mutant 5/3,rk post,Nefashu,Rare
4BB,Creature — Zombie Beast 4/4,Pete Venters,Putrid Raptor,Uncommon
2B,Instant,Ron Spencer,Reaping the Graves,Common
1B,Sorcery,Adam Rex,Skulltap,Common
3BB,Creature — Vampire 3/4,Matthew D. Wilson,Soul Collector,Rare
2B,Instant,Wayne England,Grim Reminder,Rare
3B,Instant,Dave Dorman,Irradiate,Common
3B,Creature — Human Rogue 2/3,Puddnhead,Moriok Scavenger,Common
2B,Enchantment,Alex Horley-Orlandelli,Necrogen Mists,Rare
3BB,Creature — Zombie 4/1,Adam Rex,Nim Devourer,Rare
2B,Creature — Zombie 1/1,Adam Rex,Nim Lasher,Common
2BB,Creature — Zombie 2/1,Adam Rex,Nim Shambler,Uncommon
3B,Creature — Zombie 0/1,Adam Rex,Nim Shrieker,Common
1U,Creature — Wizard 1/2,Eric Peterson,Willbender,Uncommon
2B,Creature — Wizard 3/1,Scott M. Fischer,Aphetto Exterminator,Uncommon
2BB,Creature — Insect 4/3,Justin Sweet,Bane of the Living,Rare
B,Creature — Cleric 1/1,Ben Thompson,Blood Celebrant,Common
3BB,Creature — Zombie Wizard 3/3,Mark Tedin,Corpse Harvester,Uncommon
1B,Creature — Sliver 1/1,"Edward P. Beard, Jr.",Crypt Sliver,Common
B,Creature — Cleric 1/1,Mark Zug,Dark Supplicant,Uncommon
3B,Creature — Cleric 2/3,Tony Szczudlo,Deathmark Prelate,Uncommon
2W,Instant,Keith Garletts,Inspirit,Uncommon
4W,Creature — Soldier 2/4,Iain McCaig,Ironfist Crusher,Uncommon
3WWW,Creature — Cat Giant Legend 4/7,Daren Bader,"Jareth, Leonine Titan",Rare
2W,Enchantment,Carl Critchlow,Mobilization,Rare
W,Creature — Cleric 1/2,Alan Pollack,Nova Cleric,Uncommon
2W,Instant,Doug Chaffee,Oblation,Rare
1W,Enchant Creature,Matthew D. Wilson,Pacifism,Common
2W,Creature — Soldier 2/1,Dany Orizio,Pearlspear Courier,Uncommon
X1U,Instant,Ben Thompson,Flash of Insight,Uncommon
1U,Instant,Bradley Williams,Grip of Amnesia,Common
U,Creature — Wizard 1/1,Ron Spears,Hapless Researcher,Common
2U,Instant,Fred Rahmqvist,Keep Watch,Common
1U,Instant,Pete Venters,Laquatus's Disdain,Uncommon
1U,Enchant Creature,Ben Thompson,Lost in Thought,Common
U,Instant,Bradley Williams,Mental Note,Common
3U,Creature — Wall 3/4,Mark Brill,Mirror Wall,Common
3U,Sorcery,Thomas M. Baxa,Churning Eddy,Common
2U,Instant,Anthony S. Waters,Circular Logic,Uncommon
1U,Enchantment,Christopher Moeller,Compulsion,Uncommon
U,Enchant Creature,Roger Raupp,Coral Net,Common
3U,Sorcery,Daren Bader,Deep Analysis,Common
1U,Instant,Ron Spencer,False Memories,Rare
1U,Enchant Creature,David Martin,Ghostly Wings,Common
2U,Creature — Guardian 2/2,Glen Angus,Hydromorph Guardian,Common
3UU,Creature — Bird Guardian 3/3,Arnie Swekel,Hydromorph Gull,Uncommon
2W,Instant,Carl Critchlow,Orim's Thunder,Common
W,Enchant Creature,Anthony S. Waters,Shield of Duty and Reason,Common
1W,Creature — Cat 2/1,Heather Hudson,Spectral Lynx,Rare
1W,Creature — Flagbearer 1/1,Ron Spencer,Standard Bearer,Common
U,Creature — Wizard 1/1,Greg &amp; Tim Hildebrandt,Ceta Disciple,Common
2U,Enchantment,Franz Vohwinkel,Ceta Sanctuary,Uncommon
1U,Creature — Volver 1/1,Gary Ruddell,Cetavolver,Rare
2U,Creature — Drake 2/1,John Gallagher,Coastal Drake,Common
1U,Instant,Brian Snõddy,Evasive Action,Uncommon
W,Creature — Cleric 1/1,John Avon,Confessor,Common
W,Creature — Cleric 1/1,Dave Dorman,Dedicated Martyr,Common
3W,Enchantment,Luca Zontini,Delaying Shield,Rare
W,Creature — Cleric 1/2,Clyde Caldwell,Devoted Caretaker,Rare
1WW,Enchantment,Ray Lago,Divine Sacrament,Rare
2W,Creature — Nomad 1/1,rk post,Dogged Hunter,Rare
1W,Enchantment,Heather Hudson,Earnest Fellowship,Rare
2W,Instant,Rebecca Guay,Embolden,Common
1W,Instant,Mark Tedin,Gallantry,Uncommon
2W,Enchant Creature,Alan Pollack,Hobble,Common
W,Creature — Soldier 1/1,Mike Ploog,Honorable Scout,Common
2W,Enchantment,Paolo Parente,Lashknife Barrier,Uncommon
4W,Sorcery,Marc Fishman,March of Souls,Rare
W,Instant,Kev Walker,Orim's Chant,Rare
2W,Enchantment,John Matson,Planeswalker's Mirth,Rare
W,Instant,Ben Thompson,Pollen Remedy,Common
2W,Creature — Cleric 1/2,Terese Nielsen,Samite Elder,Rare
1W,Creature — Cleric 1/1,D. J. Cleland-Hura,Samite Pilgrim,Common
3G,Creature — Human Scout 2/3,Tomasz Jedruszek,Woodland Sleuth,Common
G,Enchantment — Aura,Jason A. Engle,Wreath of Geists,Uncommon
2UB,Creature — Shapeshifter 0/0,Greg Staples,Evil Twin,Rare
1WU,Legendary Creature — Spirit Cleric 2/2,Igor Kieryluk,Geist of Saint Traft,Mythic Rare
3UB,Legendary Creature — Zombie Warrior 5/5,Peter Mohrbacher,"Grimgrin, Corpse-Born",Mythic Rare
2BR,Legendary Creature — Vampire 3/3,Eric Deschamps,Olivia Voldaren,Mythic Rare
1,Artifact — Equipment,Scott Chou,Blazing Torch,Common
,Land,Steven Belledin,Evolving Wilds,Common
,Basic Land — Plains,John Avon,Plains,Land
,Basic Land — Plains,John Avon,Plains,Land
,Basic Land — Plains,John Avon,Plains,Land
,Basic Land — Plains,John Avon,Plains,Land
,Basic Land — Island,Vincent Proce,Island,Land
,Basic Land — Island,Vincent Proce,Island,Land
2,Artifact — Equipment,Anthony Palumbo,Tormentor's Trident,Uncommon
2,Artifact — Equipment,Ryan Pancoast,Vanguard's Shield,Common
3,Artifact,John Avon,Vessel of Endless Rest,Uncommon
,Land,Dan Scott,Alchemist's Refuge,Rare
,Land,Cliff Childs,Cavern of Souls,Rare
,Land,Scott Chou,Desolate Lighthouse,Rare
,Land,David Palumbo,Seraph Sanctuary,Common
,Land,Karl Kopinski,Slayers' Stronghold,Rare
,Basic Land — Swamp,Lars Grant-West,Swamp,Land
,Basic Land — Mountain,Tomasz Jedruszek,Mountain,Land
,Basic Land — Mountain,Tomasz Jedruszek,Mountain,Land
,Basic Land — Mountain,Tomasz Jedruszek,Mountain,Land
,Basic Land — Mountain,Tomasz Jedruszek,Mountain,Land
,Basic Land — Forest,Mark Tedin,Forest,Land
,Basic Land — Forest,Mark Tedin,Forest,Land
,Basic Land — Forest,Mark Tedin,Forest,Land
,Land,Eric Deschamps,"Magosi, the Waterveil",Rare
,Land,Izzy,Marsh Flats,Rare
,Land,Shelly Wan,Misty Rainforest,Rare
,Land,Mike Bierek,"Oran-Rief, the Vastwood",Rare
,Land,Nic Klein,Piranha Marsh,Common
,Land,Philip Straub,Scalding Tarn,Rare
,Land,Ryan Pancoast,Sejiri Refuge,Uncommon
3,Artifact,Nils Hamm,Obelisk of Grixis,Common
3,Artifact,Brandon Kitkouski,Obelisk of Jund,Common
3,Artifact,Steve Prescott,Obelisk of Naya,Common
3,Artifact — Equipment,Mark Brill,Quietus Spike,Rare
2G,Creature — Elf Shaman 2/2,Darrell Riche,Gilt-Leaf Seer,Common
5GG,Creature — Treefolk Shaman 4/5,Jesper Ejsing,Guardian of Cloverdell,Uncommon
3G,Instant,Carl Frank,Heal the Scars,Common
G,Sorcery,Christopher Moeller,Hunt Down,Common
3G,Creature — Elf Shaman 2/2,Jim Nelson,Immaculate Magistrate,Rare
2G,Creature — Elf Warrior 2/2,Scott M. Fischer,Imperious Perfect,Uncommon
3GG,Sorcery,Chuck Lukacs,Incremental Growth,Uncommon
1GG,Creature — Elf Archer */*,Parente,Jagged-Scar Archers,Uncommon
2{R/G},Creature — Goblin Warrior Shaman 2/3,Jesper Ejsing,Tattermunge Duo,Common
{R/G},Creature — Goblin Warrior 2/1,Matt Cavotta,Tattermunge Maniac,Uncommon
1{R/G},Creature — Goblin Shaman 2/1,Warren Mahy,Tattermunge Witch,Uncommon
5{R/G},Creature — Giant Shaman 5/5,Randy Gallegos,Valleymaker,Rare
{R/G}{R/G},Creature — Goblin Shaman 2/2,Cyril Van Der Haegen,Vexing Shusher,Rare
4{R/G}{R/G},Legendary Creature — Goblin Shaman 3/3,Dave Allsop,"Wort, the Raidmother",Rare
{G/W},Instant,Steven Belledin,Barkshell Blessing,Common
X{G/W},Sorcery,Rebecca Guay,Dawnglow Infusion,Uncommon
4RR,Creature — Elemental 7/7,Mark Tedin,Tectonic Fiend,Uncommon
1R,Creature — Goblin Shaman 2/1,Ralph Horsley,Thick-Skinned Goblin,Uncommon
1R,Creature — Sliver 1/1,Dany Orizio,Two-Headed Sliver,Common
2R,Enchantment — Aura,Scott M. Fischer,Undying Rage,Uncommon
1RR,Creature — Viashino Scout 2/1,Dany Orizio,Viashino Bladescout,Common
4RR,Sorcery,Dan Scott,Volcanic Awakening,Uncommon
,Sorcery,Kev Walker,Wheel of Fate,Rare
3RR,Instant,Vance Kovacs,Word of Seizing,Rare
0,Artifact,Sandra Everingham,Gustha's Scepter,Rare
4,Artifact,Brian Snõddy,Helm of Obedience,Rare
0,Artifact,Douglas Shuler,Lodestone Bauble,Rare
4,Artifact,Randy Gallegos,Mishra's Groundbreaker,Uncommon
2,Artifact,Amy Weber,Mystic Compass,Uncommon
6,Artifact Creature 1/1,Mark Tedin,Phyrexian Devourer,Rare
3,Artifact,Pete Venters,Phyrexian Portal,Rare
3,Artifact Creature 3/4,Bill Sienkiewicz,Phyrexian War Beast,Common
{U/R}{U/R},Creature — Human Wizard 2/2,Jim Murray,Izzet Guildmage,Uncommon
1{W/B},Creature — Thrull 1/1,Dany Orizio,Mourning Thrull,Common
{W/B}{W/B},Creature — Human Wizard 2/2,Greg Staples,Orzhov Guildmage,Uncommon
3{U/R},Creature — Weird 3/3,Anthony S. Waters,Petrahydrox,Common
{R/G},Creature — Human Druid 1/1,Glenn Fabry,Wild Cantor,Common
2,Artifact,Tim Hildebrandt,Gruul Signet,Common
4,Artifact,Martina Pilcerova,Gruul War Plow,Rare
2,Artifact,Greg Hildebrandt,Izzet Signet,Common
2G,Summon Bears 2/2,Anthony Waters,Pale Bears,Rare
2G,Summon Dinosaur 2/2,Anson Maddocks,Pygmy Allosaurus,Rare
2G,Summon Pyknite 1/1,"Edward P. Beard, Jr.",Pyknite,Common
1G,Enchant Creature,Justin Hampton,Regeneration,Common
G,Summon Dryad 1/2,Heather Hudson,Rime Dryad,Common
4GG,Enchantment,Justin Hampton,Ritual of Subdual,Rare
7G,Summon Wurm 7/6,Daniel Gelon,Scaled Wurm,Common
4GG,Summon Strider 5/5,Douglas Shuler,Shambling Strider,Common
4{G/U}{G/U}{G/U},Sorcery,Dan Scott,Biomantic Mastery,Rare
3{W/U}{W/U}{W/U},Enchantment,Shishizaru,Dovescape,Rare
2{W/U},Creature — Human Advisor 1/1,Brian Hagan,Minister of Impediments,Common
{B/R}{B/R},Creature — Zombie Shaman 2/2,Jeremy Jarvis,Rakdos Guildmage,Uncommon
{B/R},Enchantment — Aura,Christopher Moeller,Riot Spikes,Common
2{G/U},Enchantment — Aura,Brian Hagan,Shielding Plax,Common
{G/U}{G/U},Creature — Elf Wizard 2/2,Aleksi Briclot,Simic Guildmage,Uncommon
3BG,Instant,Jim Nelson,Bound (Bound/Determined),Rare
3RR,Creature — Elemental 3/4,Marcelo Vignali,Greater Forgeling,Uncommon
4RR,Creature — Giant Warrior 5/4,Carl Critchlow,Hammerfist Giant,Rare
3RR,Creature — Dragon 6/6,Mark Zug,Hunted Dragon,Rare
2R,Sorcery,Paolo Parente,Incite Hysteria,Common
3R,Creature — Ogre Warrior 4/3,Glenn Fabry,Indentured Oaf,Uncommon
1R,Enchantment — Aura,Jim Nelson,Instill Furor,Uncommon
4R,Enchantment,Alex Horley-Orlandelli,Mindmoil,Rare
3R,Creature — Elemental */*,Kev Walker,Molten Sentry,Rare
3R,Sorcery — Arcane,Chippy,Spiraling Embers,Common
2RR,Sorcery — Arcane,Jeff Miracola,Sunder from Within,Uncommon
2RR,Sorcery,John Avon,Thoughts of Ruin,Rare
4RR,Sorcery,Tsutomu Kawade,Undying Flames,Rare
3R,Creature — Spirit 3/1,Hideaki Takamura,Yuki-Onna,Uncommon
3GG,Legendary Creature — Spirit 5/5,Kev Walker,"Arashi, the Sky Asunder",Rare
3GG,Legendary Creature — Spirit 7/3,rk post,"Ayumi, the Last Visitor",Rare
5GG,Legendary Creature — Kirin Spirit 4/4,Shishizaru,Bounteous Kirin,Rare
3GG,Creature — Spirit 3/3,Brian Despain,Briarknit Kami,Uncommon
R,Creature — Goblin Warrior 2/2,Darrell Riche,Goblin Cohort,Common
3RR,Legendary Creature — Ogre Shaman 4/3,Carl Critchlow,Heartless Hidetsugu,Rare
3RR,Enchantment,Ron Spencer,In the Web of War,Rare
3R,Instant — Arcane,Kev Walker,Ire of Kaminari,Common
1R,Legendary Creature — Goblin Warrior 1/1,Christopher Rush,"Ishi-Ishi, Akki Crackshot",Rare
2R,Enchant Creature,Keith Garletts,Kumano's Blessing,Common
2R,Legendary Creature — Spirit 1/2,Martina Pilcerova,"Mannichi, the Fevered Dream",Rare
3R,Creature — Ogre Warrior 5/4,Jim Murray,Ogre Recluse,Uncommon
6,Artifact Creature 0/0,Christopher Moeller,Arcbound Wanderer,Uncommon
1,Artifact,Ben Thompson,Avarice Totem,Uncommon
3,Artifact,Heather Hudson,Baton of Courage,Common
3,Artifact Creature — Golem 3/2,Carl Critchlow,Battered Golem,Common
3,Artifact,Stephen Tappin,Blasting Station,Uncommon
1,Artifact,Michael Sutfin,Chimeric Coils,Uncommon
5,Artifact,Dany Orizio,Clearwater Goblet,Rare
4,Artifact,Alex Horley-Orlandelli,Clock of Omens,Uncommon
U,Creature — Spirit 1/1,Heather Hudson,Wandering Ones,Common
1B,Creature — Zubera Spirit 1/2,Wayne Reynolds,Ashen-Skin Zubera,Common
2BB,Sorcery,Luca Zontini,Befoul,Common
3B,Creature — Ogre Shaman 3/2,Adam Rex,Blood Speaker,Uncommon
2B,Creature — Ogre Warrior Shaman 3/1,Thomas M. Baxa,Bloodthirsty Ogre,Uncommon
3B,Sorcery — Arcane,Dave Allsop,Cranial Extraction,Rare
1B,Creature — Spirit 2/1,Nottsuo,Cruel Deceiver,Common
3B,Creature — Human Samurai 1/1,Carl Critchlow,Cursed Ronin,Common
3BB,Sorcery — Arcane,Chippy,Dance of Shadows,Uncommon
1,Artifact,Greg Hildebrandt,Æther Vial,Uncommon
2,Artifact,Alan Pollack,Angel's Feather,Uncommon
4,Artifact,Trevor Hairsine,Arcane Spyglass,Common
5,Artifact Creature 0/0,Christopher Moeller,Arcbound Bruiser,Common
4,Artifact Creature 0/0,Michael Sutfin,Arcbound Crusher,Uncommon
6,Artifact Creature 0/0,Ittoku,Arcbound Fiend,Uncommon
4,Artifact Creature 0/0,Alan Pollack,Arcbound Hybrid,Common
2BB,Sorcery,Pete Venters,Tendrils of Agony,Uncommon
5B,Creature — Zombie Mutant 5/3,Daren Bader,Twisted Abomination,Common
1BB,Sorcery,Wayne England,Unburden,Common
2BB,Creature — Zombie 1/1,Greg Hildebrandt,Undead Warchief,Uncommon
1BB,Enchantment,Arnie Swekel,Unspeakable Symbol,Uncommon
3B,Creature — Zombie 3/2,Alex Horley-Orlandelli,Vengeful Dead,Common
3BB,Creature — Zombie 3/4,Thomas M. Baxa,Zombie Cutthroat,Common
4R,Creature — Beast 4/2,Alan Pollack,Bonethorn Valesk,Common
2BBB,Sorcery,Kev Walker,Promise of Power,Rare
4BBBB,Creature — Demon 6/6,Brom,Reiver Demon,Rare
1BB,Enchant Artifact,Eric Peterson,Relic Bane,Uncommon
BB,Creature — Slith 1/1,Justin Sweet,Slith Bloodletter,Uncommon
B,Instant,Thomas M. Baxa,Spoils of the Vault,Rare
1B,Instant,Puddnhead,Terror,Common
4B,Creature — Horror 1/1,Daren Bader,Vermiculos,Rare
2B,Instant,John Matson,Wail of the Nim,Common
2B,Creature — Horror 5/3,Carl Critchlow,Drinker of Sorrow,Rare
4BB,Creature — Zombie 4/1,Thomas M. Baxa,Dripping Dead,Common
1B,Creature — Cleric 1/1,Alex Horley-Orlandelli,Earthblighter,Uncommon
2B,Creature — Zombie 2/2,Justin Sweet,Embalmed Brawler,Common
5B,Creature — Zombie 4/3,Dany Orizio,Gempalm Polluter,Common
BBB,Creature — Zombie 0/0,"Edward P. Beard, Jr.",Ghastly Remains,Rare
1B,Creature — Goblin Mercenary 2/1,Jim Nelson,Goblin Turncoat,Common
2BB,Creature — Zombie Spirit 3/3,Kev Walker,Graveborn Muse,Rare
5BB,Creature — Demon 5/5,Thomas M. Baxa,Havoc Demon,Rare
W,Instant,David Martin,Piety Charm,Common
2W,Instant,Dave Dorman,Renewed Faith,Common
3WW,Enchantment,Scott M. Fischer,Righteous Cause,Uncommon
2W,Enchant Creature,Glen Angus,Sandskin,Common
1W,Enchantment,Mark Brill,Shared Triumph,Rare
5W,Creature — Cleric Wizard 2/3,Christopher Moeller,Shieldmage Elder,Uncommon
3W,Enchantment,Tony Szczudlo,Sigil of the New Dawn,Rare
2W,Instant,Monte Michael Moore,Sunfire Balm,Uncommon
3UU,Enchantment,Mike Ploog,Mist of Stagnation,Rare
1U,Sorcery,John Avon,Quiet Speculation,Uncommon
4U,Creature — Beast 1/5,Mark Tedin,Scalpelexis,Rare
3UUU,Instant,Pete Venters,Spelljack,Rare
2UUU,Enchantment,Jim Nelson,Telekinetic Bonds,Rare
2U,Enchantment,Don Hazeltine,Web of Inertia,Uncommon
3U,Creature — Incarnation 2/2,Rebecca Guay,Wonder,Uncommon
3UU,Creature — Nightmare Beast 5/5,Heather Hudson,Wormfang Behemoth,Rare
2U,Instant,Ron Spencer,Liquify,Common
3U,Creature — Cephalid Legend 2/3,Mark Zug,"Llawan, Cephalid Empress",Rare
U,Instant,Jim Nelson,Obsessive Search,Common
3U,Instant,Ben Thompson,Plagiarize,Rare
2UU,Creature — Bird Soldier Horror 3/3,Scott M. Fischer,Possessed Aven,Rare
U,Sorcery,Greg Staples,Retraced Image,Rare
2U,Creature — Bird Soldier 2/1,Matt Cavotta,Skywing Aven,Common
1U,Enchant Creature,Bradley Williams,Stupefying Touch,Uncommon
3UU,Enchantment,Jerry Tiritilli,Ice Cave,Rare
U,Sorcery,Kev Walker,Index,Common
1U,Instant,Matt Cavotta,Jaded Response,Common
1U,Instant,Terese Nielsen,Jilt,Common
3U,Creature — Ship 2/3,Mark Tedin,Living Airship,Common
U,Creature — Merfolk 0/2,Scott M. Fischer,Reef Shaman,Common
1U,Instant,Rebecca Guay,Shimmering Mirage,Common
2WW,Creature — Antelope 1/4,Heather Hudson,Graceful Antelope,Rare
2W,Creature — Cleric 1/1,Ben Thompson,Hallowed Healer,Common
2W,Enchantment,Ray Lago,Karmic Justice,Rare
W,Enchant Creature,Pete Venters,Kirtar's Desire,Common
4WW,Sorcery,Kev Walker,Kirtar's Wrath,Rare
1WW,Creature — Bird Soldier Legend 2/2,Paolo Parente,Lieutenant Kirtar,Rare
1W,Instant,John Avon,Life Burst,Common
3W,Creature — Guardian 1/4,Terese Nielsen,Luminous Guardian,Uncommon
2W,Creature — Wizard 2/2,Tony Szczudlo,Sunscape Battlemage,Uncommon
1W,Creature — Wall 0/3,Brian Despain,Sunscape Familiar,Common
3W,Instant,Bradley Williams,Surprise Deployment,Uncommon
2WW,Creature — Angel 2/2,rk post,Voice of All,Uncommon
4U,Sorcery,Paolo Parente,Allied Strategies,Uncommon
1U,Creature — Merfolk 1/1,Ron Spears,Arctic Merfolk,Common
1U,Instant,Doug Chaffee,Confound,Common
1UU,Creature — Shapeshifter 2/2,Glen Angus,Dralnu's Pet,Rare
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      355 cards
    ",,,
,,,,
W,Creature — Leech 1/3,"Edward P. Beard, Jr.",Alabaster Leech,Rare
4W,Creature — Angel 3/3,Mark Tedin,Angel of Mercy,Uncommon
1W,Creature — Soldier 1/2,Paolo Parente,Ardent Soldier,Common
3WW,Creature — Cleric Legend 2/3,Rebecca Guay,"Atalya, Samite Master",Rare
2W,Creature — Wizard 1/4,Randy Gallegos,Benalish Emissary,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      143 cards
    ",,,
,,,,
1WW,Instant,Kev Walker,Abolish,Uncommon
2W,Enchantment,Rebecca Guay,Aura Fracture,Common
6WW,Creature — Avatar 4/9,rk post,Avatar of Hope,Rare
7WW,Sorcery,Anthony S. Waters,Blessed Wind,Rare
2WW,Enchantment,Ray Lago,Celestial Convergence,Rare
3,Artifact — Equipment,Jason Felix,Butcher's Cleaver,Uncommon
2,Artifact,Rob Alexander,Cellar Door,Uncommon
2,Artifact — Equipment,Matt Stewart,Cobbled Wings,Common
5,Artifact Creature — Construct 1/1,Matt Stewart,Creepy Doll,Rare
4,Artifact — Equipment,Jason Felix,Demonmail Hauberk,Uncommon
4,Artifact Creature — Juggernaut 5/5,Lucas Graciano,Galvanic Juggernaut,Uncommon
6,Artifact Creature — Construct 4/5,Vincent Proce,Geistcatcher's Rig,Uncommon
1,Artifact,Lars Grant-West,Ghoulcaller's Bell,Common
,Basic Land — Island,Vincent Proce,Island,Land
,Basic Land — Island,Vincent Proce,Island,Land
,Basic Land — Swamp,Véronique Meignaud,Swamp,Land
,Basic Land — Swamp,Véronique Meignaud,Swamp,Land
,Basic Land — Swamp,Véronique Meignaud,Swamp,Land
,Basic Land — Swamp,Véronique Meignaud,Swamp,Land
,Basic Land — Mountain,James Paick,Mountain,Land
,Basic Land — Mountain,James Paick,Mountain,Land
,Basic Land — Plains,Adam Paquette,Plains,Land
,Basic Land — Plains,Jung Park,Plains,Land
,Basic Land — Plains,Eytan Zana,Plains,Land
,Basic Land — Island,James Paick,Island,Land
,Basic Land — Island,Adam Paquette,Island,Land
,Basic Land — Island,Jung Park,Island,Land
,Basic Land — Swamp,James Paick,Swamp,Land
,Basic Land — Swamp,Adam Paquette,Swamp,Land
,Basic Land — Forest,Mark Tedin,Forest,Land
,"
      249 cards
    ",,,
,Land,Izzy,Soaring Seacliff,Common
,Land,Fred Fields,Teetering Peaks,Common
,Land,Rob Alexander,Turntimber Grove,Common
,Land,Kieran Yanner,"Valakut, the Molten Pinnacle",Rare
,Land,Vance Kovacs,Verdant Catacombs,Rare
,Basic Land — Plains,John Avon,Plains,Land
,Basic Land — Plains,Jung Park,Plains,Land
1,Artifact,Jean-Sébastien Rossbach,Relic of Progenitus,Common
X,Artifact — Equipment,Alan Pollack,Sigil of Distinction,Rare
,Land,Anthony Francisco,Arcane Sanctum,Uncommon
,Land,Donato Giancola,Bant Panorama,Common
,Land,Dave Kendall,Crumbling Necropolis,Uncommon
,Land,Franz Vohwinkel,Esper Panorama,Common
,Land,Nils Hamm,Grixis Panorama,Common
1G,Creature — Kithkin Soldier 1/1,Christopher Moeller,Kithkin Daggerdare,Common
2G,Creature — Kithkin Scout 2/2,Dominick Domingo,Kithkin Mourncaller,Uncommon
2G,Instant,Rebecca Guay,Lace with Moonglove,Common
1G,Instant,Howard Lyon,Lammastide Weave,Uncommon
1G,Creature — Elf Druid 2/1,Quinton Hoover,Leaf Gilder,Common
1G,Tribal Enchantment — Treefolk Aura,Jesper Ejsing,Lignify,Common
2GG,Creature — Elf Warrior 3/3,Pete Venters,Lys Alana Huntmaster,Common
{G/W},Creature — Elf Shaman 1/1,Alex Horley-Orlandelli,Elvish Hexhunter,Common
2{G/W}{G/W}{G/W},Instant,Michael Sutfin,Fracturing Gust,Rare
2{G/W}{G/W},Creature — Elemental 2/2,Rebecca Guay,Heartmender,Rare
1{G/W}{G/W},Creature — Ouphe 3/2,Kev Walker,Kitchen Finks,Uncommon
1{G/W},Creature — Elf Cleric 2/1,Chippy,Medicine Runner,Common
2{G/W},Instant,Dave Kendall,Mercy Killing,Uncommon
3{G/W}{G/W},Creature — Treefolk Warrior 3/6,Thomas M. Baxa,Old Ghastbark,Common
1G,Enchantment — Aura,Justin Sweet,Æther Web,Common
1G,Creature — Bear 2/2,Carl Critchlow,Ashcoat Bear,Common
1G,Enchantment — Aura,Dave Dorman,Aspect of Mongoose,Uncommon
3G,Instant,Anthony S. Waters,Chameleon Blur,Common
4GG,Creature — Beast 5/5,Dan Frazier,Durkwood Baloth,Common
4G,Creature — Giant 4/3,Michael Phillippi,Durkwood Tracker,Uncommon
3G,Creature — Fungus Sliver 2/2,Daniel Gelon,Fungus Sliver,Rare
3,Artifact Creature 3/4,Bill Sienkiewicz,Phyrexian War Beast,Common
2,Artifact,Sandra Everingham,Scarab of the Unseen,Uncommon
0,Artifact Creature 0/6,Alan Rabinowitz,Shield Sphere,Uncommon
3,Artifact,Christopher Rush,Sol Grail,Uncommon
2,Artifact,Amy Weber,Soldevi Digger,Rare
1,Artifact Creature 1/1,Alan Rabinowitz,Soldevi Sentry,Common
1,Artifact Creature 1/1,Alan Rabinowitz,Soldevi Sentry,Common
3,Artifact,John Avon,Mizzium Transreliquat,Rare
1,Artifact,Martina Pilcerova,Moratorium Stone,Rare
2,Artifact,Tim Hildebrandt,Orzhov Signet,Common
4,Artifact — Equipment,Tim Hildebrandt,Sword of the Paruns,Rare
,Land — Plains Swamp,Rob Alexander,Godless Shrine,Rare
,Land,John Avon,Gruul Turf,Common
,Land,John Avon,Izzet Boilerworks,Common
3G,Enchant Creature,Douglas Shuler,Snowblind,Rare
1GG,Instant,Jeff A. Menges,Stampede,Rare
3GG,Sorcery,NéNé Thomas,Stunted Growth,Rare
G,Summon Tarpan 1/1,Margaret Organ-Kean,Tarpan,Common
1GG,Sorcery,"Ken Meyer, Jr.",Thermokarst,Uncommon
GG,Enchantment,Mark Tedin,Thoughtleech,Uncommon
G,Summon Wall 0/3,Rick Emond,Tinder Wall,Common
UG,Instant,Jim Nelson,Determined (Bound/Determined),Rare
3WB,Sorcery,Randy Gallegos,Crime (Crime/Punishment),Rare
XBG,Sorcery,Randy Gallegos,Punishment (Crime/Punishment),Rare
WR,Instant,Zoltan Boros &amp; Gabor Szikszai,Hide (Hide/Seek),Rare
WB,Instant,Zoltan Boros &amp; Gabor Szikszai,Seek (Hide/Seek),Rare
1BR,Instant,Darrell Riche,Hit (Hit/Run),Uncommon
3RG,Instant,Darrell Riche,Run (Hit/Run),Uncommon
3R,Creature — Minotaur Soldier 4/1,Stephen Tappin,Ordruun Commando,Common
1R,Sorcery,Tsutomu Kawade,Rain of Embers,Common
1R,Instant,Christopher Rush,Reroute,Uncommon
1RR,Creature — Cat 2/1,Carl Critchlow,Sabertooth Alley Cat,Common
